Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;94651354;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ;vilande;;;observerad;;Revingefältet;1355450;6176357;25;0;Skåne;Lund;Skåne;Silvåkra;;2021-07-03;13:30;2021-07-03;13:30
;94651437;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ;vilande;;;observerad;;Vägen söder om Krankesjön;1351925;6176138;10;0;Skåne;Lund;Skåne;Silvåkra;;2021-07-03;13:30;2021-07-03;13:30
;94910017;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;Sisjöns skjutfält;Store mosse, V-kanten;1271671;6395031;100;0;Västra Götaland;Mölndal;Västergötland;Mölndal;;2021-07-16;08:45;2021-07-16;09:40
;86937053;41578;Godkänd. Foto (eller ljud) granskat av validerare;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;;Duvemossen, Sisjöns skjutfält;1271630;6394400;250;0;Västra Götaland;Mölndal;Västergötland;Mölndal;;2020-07-17;10:30;2020-07-17;13:15
;16095925;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);2;ex.;imago/adult; ;födosökande;;;observerad;;Billdals park;1269387;6391134;200;0;Västra Götaland;Göteborg;Västergötland;Askim;;2014-07-12;13:30;2014-07-12;14:30
;95135082;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;;Väneblick, 300 m SO om;1359530;6499788;100;0;Västra Götaland;Götene;Västergötland;Medelplana;;2021-07-19;16:20;2021-07-19;16:20
;72316370;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult; ;friflygande;;;observerad;Balltorp, Mölndal;Sisjöbacken;1271517;6396952;100;0;Västra Götaland;Mölndal;Västergötland;Mölndal;;2018-07-17;14:25;2018-07-17;14:25
;95593859;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad; ; ; ; ;;; ;;Torpet;1468164;6250544;100;0;Blekinge;Ronneby;Blekinge;Eringsboda;;2021-06-19;;2021-06-19;
;106813153;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad; ; ; ; ;;; ;;Ekebo;1468163;6250542;75;0;Blekinge;Ronneby;Blekinge;Eringsboda;;2021-07-02;;2021-07-02;
;72057826;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ;imago/adult; ;friflygande;;; ;;Hönö;1252100;6403900;2000;0;Västra Götaland;Öckerö;Bohuslän;Öckerö;;2018-06-28;;2018-06-28;
